,-1.90,-1.90
4975,0.14,0.14
4979,0.26,0.26
4984,0.40,0.40
4988,0.52,0.52
4993,0.65,0.65
4997,0.74,0.74
5001,0.92,0.92
5005,1.04,1.04
5009,1.25,1.25
5013,1.39,1.39
5017,1.53,1.53
5021,1.66,1.66
5025,1.78,1.78
5029,1.88,1.88
5033,1.98,1.98
5038,2.00,2.00
5042,2.00,2.00
5046,2.00,2.00
5051,2.00,2.00
5055,2.00,2.00
5059,2.00,2.00
5063,2.00,2.00
5067,2.00,2.00
5071,2.00,2.00
5075,2.00,2.00
5080,2.00,2.00
5084,1.96,1.96
5088,1.88,1.88
5092,1.80,1.80
5096,1.71,1.71
5100,1.61,1.61
5104,1.52,1.52
5108,1.43,1.43
5112,1.34,1.34
5117,1.29,1.29
5122,1.27,1.27
5126,1.25,1.25
5130,1.24,1.24
